GSM	Title	cell_line	Comparison	Status	Ensembl_ID	Gene	Raw_count	Total_counts	CPM
GSM3752549	WI-38 Dox+ 2 Repeat	WI-38	WI38_Doxorubicin	Senescent	ENSG00000115008	IL1A	655	346257781	1.8916542412659891
GSM3752549	WI-38 Dox+ 2 Repeat	WI-38	WI38_Doxorubicin	Senescent	ENSG00000147883	CDKN2B	6611	346257781	19.09271173894573
GSM3752549	WI-38 Dox+ 2 Repeat	WI-38	WI38_Doxorubicin	Senescent	ENSG00000169429	CXCL8	3263	346257781	9.423614945421257
GSM3752549	WI-38 Dox+ 2 Repeat	WI-38	WI38_Doxorubicin	Senescent	ENSG00000170345	FOS	21044	346257781	60.77552954687248
GSM3752542	WI-38 EV 1	WI-38	WI38_HRAS	Control	ENSG00000090339	ICAM1	6784	153049881	44.325418325545776
GSM3752542	WI-38 EV 1	WI-38	WI38_HRAS	Control	ENSG00000115008	IL1A	38	153049881	0.24828506727163024
GSM3752542	WI-38 EV 1	WI-38	WI38_HRAS	Control	ENSG00000147883	CDKN2B	1635	153049881	10.68279171023988
GSM3752542	WI-38 EV 1	WI-38	WI38_HRAS	Control	ENSG00000169429	CXCL8	345	153049881	2.254167058124011
GSM3752542	WI-38 EV 1	WI-38	WI38_HRAS	Control	ENSG00000170345	FOS	82	153049881	0.5357730399019389
GSM3752543	WI-38 EV 2	WI-38	WI38_HRAS	Control	ENSG00000090339	ICAM1	6807	139060207	48.95002061948606
GSM3752543	WI-38 EV 2	WI-38	WI38_HRAS	Control	ENSG00000115008	IL1A	25	139060207	0.1797782452603425
GSM3752543	WI-38 EV 2	WI-38	WI38_HRAS	Control	ENSG00000147883	CDKN2B	1051	139060207	7.557877430744799
GSM3752543	WI-38 EV 2	WI-38	WI38_HRAS	Control	ENSG00000169429	CXCL8	268	139060207	1.927222789190872
GSM3752543	WI-38 EV 2	WI-38	WI38_HRAS	Control	ENSG00000170345	FOS	104	139060207	0.7478775002830249
GSM3752544	WI-38 HRAS(G12v) 1	WI-38	WI38_HRAS	Senescent	ENSG00000090339	ICAM1	30736	162605437	189.02196978813197
GSM3752544	WI-38 HRAS(G12v) 1	WI-38	WI38_HRAS	Senescent	ENSG00000115008	IL1A	8540	162605437	52.51976906528654
GSM3752544	WI-38 HRAS(G12v) 1	WI-38	WI38_HRAS	Senescent	ENSG00000147883	CDKN2B	16128	162605437	99.18487534952475
GSM3752544	WI-38 HRAS(G12v) 1	WI-38	WI38_HRAS	Senescent	ENSG00000169429	CXCL8	228863	162605437	1407.4744622469173
GSM3752544	WI-38 HRAS(G12v) 1	WI-38	WI38_HRAS	Senescent	ENSG00000170345	FOS	263	162605437	1.6174120918232273
GSM3752545	WI-38 HRAS(G12v) 2	WI-38	WI38_HRAS	Senescent	ENSG00000090339	ICAM1	30153	135085231	223.21463106503478
GSM3752545	WI-38 HRAS(G12v) 2	WI-38	WI38_HRAS	Senescent	ENSG00000115008	IL1A	4895	135085231	36.236381755160195
GSM3752545	WI-38 HRAS(G12v) 2	WI-38	WI38_HRAS	Senescent	ENSG00000147883	CDKN2B	12161	135085231	90.0246452552611
GSM3752545	WI-38 HRAS(G12v) 2	WI-38	WI38_HRAS	Senescent	ENSG00000169429	CXCL8	120291	135085231	890.4822467231818
GSM3752545	WI-38 HRAS(G12v) 2	WI-38	WI38_HRAS	Senescent	ENSG00000170345	FOS	174	135085231	1.2880756742385848
GSM3752550	WI-38 IR- 1	WI-38	WI38_IR	Control	ENSG00000090339	ICAM1	11916	331185826	35.979800657290205
GSM3752550	WI-38 IR- 1	WI-38	WI38_IR	Control	ENSG00000115008	IL1A	46	331185826	0.1388948330174009
GSM3752550	WI-38 IR- 1	WI-38	WI38_IR	Control	ENSG00000147883	CDKN2B	6757	331185826	20.40244318909952
GSM3752550	WI-38 IR- 1	WI-38	WI38_IR	Control	ENSG00000169429	CXCL8	43	331185826	0.12983647434235304
GSM3752550	WI-38 IR- 1	WI-38	WI38_IR	Control	ENSG00000170345	FOS	300	331185826	0.9058358675047887
GSM3752551	WI-38 IR- 2	WI-38	WI38_IR	Control	ENSG00000090339	ICAM1	11647	278729999	41.78595788679352
GSM3752551	WI-38 IR- 2	WI-38	WI38_IR	Control	ENSG00000115008	IL1A	27	278729999	0.09686793706048125
GSM3752551	WI-38 IR- 2	WI-38	WI38_IR	Control	ENSG00000147883	CDKN2B	5612	278729999	20.134180103089655
GSM3752551	WI-38 IR- 2	WI-38	WI38_IR	Control	ENSG00000169429	CXCL8	8	278729999	0.028701610980883332
GSM3752551	WI-38 IR- 2	WI-38	WI38_IR	Control	ENSG00000170345	FOS	168	278729999	0.60273383059855
GSM3752552	WI-38 IR+ 1	WI-38	WI38_IR	Senescent	ENSG00000090339	ICAM1	49999	278881928	179.28375767683306
GSM3752552	WI-38 IR+ 1	WI-38	WI38_IR	Senescent	ENSG00000115008	IL1A	472	278881928	1.6924725219197423
GSM3752552	WI-38 IR+ 1	WI-38	WI38_IR	Senescent	ENSG00000147883	CDKN2B	7148	278881928	25.63091861585237
GSM3752552	WI-38 IR+ 1	WI-38	WI38_IR	Senescent	ENSG00000169429	CXCL8	1225	278881928	4.392539913880688
GSM3752552	WI-38 IR+ 1	WI-38	WI38_IR	Senescent	ENSG00000170345	FOS	4643	278881928	16.648622710324922
GSM3752553	WI-38 IR+ 2	WI-38	WI38_IR	Senescent	ENSG00000090339	ICAM1	75701	370996204	204.04790988104017
GSM3752553	WI-38 IR+ 2	WI-38	WI38_IR	Senescent	ENSG00000115008	IL1A	499	370996204	1.3450272391466302
GSM3752553	WI-38 IR+ 2	WI-38	WI38_IR	Senescent	ENSG00000147883	CDKN2B	6911	370996204	18.628222945375473
GSM3752553	WI-38 IR+ 2	WI-38	WI38_IR	Senescent	ENSG00000169429	CXCL8	1551	370996204	4.180635767367582
GSM3752553	WI-38 IR+ 2	WI-38	WI38_IR	Senescent	ENSG00000170345	FOS	6777	370996204	18.267033265925274
GSM3752556	WI-38 Proliferating Control 1	WI-38	WI38_Replicative	Control	ENSG00000090339	ICAM1	22885	305742930	74.85046342690573
GSM3752556	WI-38 Proliferating Control 1	WI-38	WI38_Replicative	Control	ENSG00000115008	IL1A	44	305742930	0.14391174965190529
GSM3752556	WI-38 Proliferating Control 1	WI-38	WI38_Replicative	Control	ENSG00000147883	CDKN2B	14114	305742930	46.162964422431614
GSM3752556	WI-38 Proliferating Control 1	WI-38	WI38_Replicative	Control	ENSG00000169429	CXCL8	330	305742930	1.0793381223892895
GSM3752556	WI-38 Proliferating Control 1	WI-38	WI38_Replicative	Control	ENSG00000170345	FOS	1880	305742930	6.148956576035953
GSM3752557	WI-38 Proliferating Control 2	WI-38	WI38_Replicative	Control	ENSG00000090339	ICAM1	14388	205854972	69.89386683358806
GSM3752557	WI-38 Proliferating Control 2	WI-38	WI38_Replicative	Control	ENSG00000115008	IL1A	29	205854972	0.14087587838296176
GSM3752557	WI-38 Proliferating Control 2	WI-38	WI38_Replicative	Control	ENSG00000147883	CDKN2B	10062	205854972	48.879072009977975
GSM3752557	WI-38 Proliferating Control 2	WI-38	WI38_Replicative	Control	ENSG00000169429	CXCL8	268	205854972	1.301887427814957
GSM3752557	WI-38 Proliferating Control 2	WI-38	WI38_Replicative	Control	ENSG00000170345	FOS	1521	205854972	7.388696931740856
GSM3752554	WI-38 Replicative Exhaustion 1	WI-38	WI38_Replicative	Senescent	ENSG00000090339	ICAM1	14364	286955697	50.056507503316794
GSM3752554	WI-38 Replicative Exhaustion 1	WI-38	WI38_Replicative	Senescent	ENSG00000115008	IL1A	68	286955697	0.23697037804410623
GSM3752554	WI-38 Replicative Exhaustion 1	WI-38	WI38_Replicative	Senescent	ENSG00000147883	CDKN2B	10720	286955697	37.35768312695322
GSM3752554	WI-38 Replicative Exhaustion 1	WI-38	WI38_Replicative	Senescent	ENSG00000169429	CXCL8	290	286955697	1.0106089651881
GSM3752554	WI-38 Replicative Exhaustion 1	WI-38	WI38_Replicative	Senescent	ENSG00000170345	FOS	3087	286955697	10.757758191502294
GSM3752555	WI-38 Replicative Exhaustion 2	WI-38	WI38_Replicative	Senescent	ENSG00000090339	ICAM1	12686	322483830	39.33840651793301
GSM3752555	WI-38 Replicative Exhaustion 2	WI-38	WI38_Replicative	Senescent	ENSG00000115008	IL1A	28	322483830	0.08682605884456283
GSM3752555	WI-38 Replicative Exhaustion 2	WI-38	WI38_Replicative	Senescent	ENSG00000147883	CDKN2B	7087	322483830	21.976295679693457
GSM3752555	WI-38 Replicative Exhaustion 2	WI-38	WI38_Replicative	Senescent	ENSG00000169429	CXCL8	46	322483830	0.14264281095892467
GSM3752555	WI-38 Replicative Exhaustion 2	WI-38	WI38_Replicative	Senescent	ENSG00000170345	FOS	5695	322483830	17.659800182849477
