GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
448834	0.000228	6.87e-05	0.5114	-3.980727	-2.0358125	14.33	KPRP	keratinocyte proline rich protein
100506411	5.61e-07	1.21e-07	0.3845	-5.292533	-2.0350736	25.34	MAP3K9-DT	MAP3K9 divergent transcript
1512	2.36e-71	4.3600000000000005e-73	0.1121	-18.082732	-2.0271171	456.55	CTSH	cathepsin H
56144	1.16e-05	2.92e-06	0.4332	-4.676626	-2.0259011	20.55	PCDHA4	protocadherin alpha 4
864	9.37e-10	1.53e-10	0.3164	-6.40244	-2.0257015	37.62	RUNX3	RUNX family transcription factor 3
57509	2.02e-66	4.2099999999999995e-68	0.116	-17.438533	-2.0229722	307.46	MTUS1	microtubule associated scaffold protein 1
3897	0.0	0.0	0.0351	-57.614027	-2.0209444	18033.95	L1CAM	L1 cell adhesion molecule
107987401	0.00553	0.00212	0.6541	-3.072581	-2.0098825	8.54	LOC107987401	uncharacterized LOC107987401
57460	4.9899999999999996e-89	6.51e-91	0.0992	-20.220108	-2.0063108	437.26	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H
25759	7.49e-78	1.22e-79	0.1057	-18.896344	-1.9968295	365.8	SHC2	SHC adaptor protein 2
101928278	8.59e-07	1.88e-07	0.3831	-5.210654	-1.9959904	25.8	IGFBP-AS1	IGFBP5 antisense RNA 1
2571	2.48e-07	5.16e-08	0.3657	-5.445627	-1.991466	27.5	GAD1	glutamate decarboxylase 1
2151	2.36e-220	5.34e-223	0.0624	-31.878274	-1.9893629	1268.21	F2RL2	coagulation factor II thrombin receptor like 2
3429	1.61e-09	2.69e-10	0.3143	-6.315477	-1.9851277	37.9	IFI27	interferon alpha inducible protein 27
55283	5.26e-37	2.36e-38	0.1527	-12.94964	-1.9772005	171.78	MCOLN3	mucolipin TRP cation channel 3
249	1.67e-08	3.09e-09	0.3336	-5.926998	-1.9769822	32.76	ALPL	alkaline phosphatase, biomineralization associated
105378026	1.36e-05	3.45e-06	0.4251	-4.642282	-1.9734799	21.1	LOC105378026	uncharacterized LOC105378026
400550	3.7700000000000004e-56	9.830000000000001e-58	0.123	-16.016345	-1.9706308	296.88	FENDRR	FOXF1 adjacent non-coding developmental regulatory RNA
59353	1.17e-62	2.65e-64	0.1164	-16.931136	-1.9703966	306.46	TMEM35A	transmembrane protein 35A
113791	2.89e-125	2.03e-127	0.0818	-24.013108	-1.9652366	678.1	PIK3IP1	phosphoinositide-3-kinase interacting protein 1
6616	4.3e-76	7.26e-78	0.1047	-18.679541	-1.9554767	521.79	SNAP25	synaptosome associated protein 25
4293	2.1200000000000002e-56	5.5e-58	0.1216	-16.05243	-1.9516995	268.67	MAP3K9	mitogen-activated protein kinase kinase kinase 9
100131208	0.000298	9.09e-05	0.4979	-3.91367	-1.9486765	15.04	SNAP25-AS1	SNAP25 antisense RNA 1
3730	1.75e-28	1.0600000000000001e-29	0.1721	-11.319118	-1.9485856	131.67	ANOS1	anosmin 1
80323	7.83e-13	1.03e-13	0.2619	-7.437074	-1.9480554	66.72	CCDC68	coiled-coil domain containing 68
9001	1.33e-12	1.78e-13	0.2644	-7.364172	-1.9474369	52.3	HAP1	huntingtin associated protein 1
3485	9.32e-196	2.64e-198	0.0647	-30.043674	-1.9439354	2136.44	IGFBP2	insulin like growth factor binding protein 2
6092	9.68e-21	8.05e-22	0.2023	-9.599229	-1.941589	502.71	ROBO2	roundabout guidance receptor 2
55964	2.09e-08	3.88e-09	0.3297	-5.889042	-1.9414456	35.33	SEPTIN3	septin 3
105379282	0.00116	0.000389	0.5459	-3.547182	-1.9362554	13.03	LOC105379282	
100820829	4.27e-13	5.51e-14	0.2575	-7.519259	-1.9358422	60.02	MYZAP	myocardial zonula adherens protein
2203	2.05e-05	5.3e-06	0.4236	-4.552365	-1.9284777	21.85	FBP1	fructose-bisphosphatase 1
144347	0.00655	0.00256	0.6391	-3.016662	-1.9278765	8.79	RFLNA	refilin A
105373592	0.000487	0.000154	0.5089	-3.784026	-1.9255165	14.21	LOC105373592	uncharacterized LOC105373592
127002	1.11e-162	4.52e-165	0.0703	-27.38181	-1.9237128	1280.72	ATXN7L2	ataxin 7 like 2
105371453	6.89e-07	1.49e-07	0.3659	-5.253423	-1.922456	28.89	BCAN-AS1	BCAN antisense RNA 1
84707	2.02e-07	4.16e-08	0.3503	-5.484024	-1.9208272	30.06	BEX2	brain expressed X-linked 2
221091	4.99e-22	3.97e-23	0.1939	-9.904678	-1.9207833	614.64	LRRN4CL	LRRN4 C-terminal like
10231	6.84e-18	6.52e-19	0.2162	-8.882784	-1.9205449	941.97	RCAN2	regulator of calcineurin 2
57633	9.78e-07	2.15e-07	0.3687	-5.185748	-1.9121582	29.05	LRRN1	leucine rich repeat neuronal 1
6236	3.72e-19	3.32e-20	0.2077	-9.207938	-1.9121427	88.77	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator
59084	4.11e-29	2.44e-30	0.1669	-11.446935	-1.9110059	136.89	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5
