GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
105369618	0.00317	0.00116	0.6543	3.248623	2.1254425	9.74	LOC105369618	uncharacterized LOC105369618
152	0.00032	9.84e-05	0.5416	3.894576	2.1093298	14.6	ADRA2C	adrenoceptor alpha 2C
128553	3.56e-07	7.51e-08	0.392	5.378501	2.1083674	27.22	TSHZ2	teashirt zinc finger homeobox 2
2006	1.76e-56	4.55e-58	0.1305	16.064147	2.0966487	22909.78	ELN	elastin
64798	1.8e-09	3.04e-10	0.3325	6.296608	2.093462	36.85	DEPTOR	DEP domain containing MTOR interacting protein
200132	3.55e-09	6.16e-10	0.3374	6.186286	2.087477	34.58	DYNLT5	dynein light chain Tctex-type family member 5
102723834	0.000638	0.000206	0.561	3.71206	2.0824706	12.96	LOC102723834	uncharacterized LOC102723834
284266	5.2e-07	1.11e-07	0.3919	5.307267	2.0801254	25.54	SIGLEC15	sialic acid binding Ig like lectin 15
2558	3.09e-05	8.16e-06	0.4603	4.46082	2.0533607	18.73	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5
55714	1.8e-78	2.92e-80	0.1081	18.971811	2.0500808	414.99	TENM3	teneurin transmembrane protein 3
151176	2.7e-12	3.68e-13	0.2819	7.26689	2.0488004	48.91	ERFE	erythroferrone
56901	8.8e-17	8.9e-18	0.2385	8.587328	2.0484912	74.33	NDUFA4L2	NDUFA4 mitochondrial complex associated like 2
2201	0.0	0.0	0.0435	46.672032	2.0323124	21395.76	FBN2	fibrillin 2
85366	0.00903	0.00364	0.6951	2.908135	2.0213613	7.98	MYLK2	myosin light chain kinase 2
3752	1.92e-19	1.69e-20	0.2174	9.280185	2.0179471	97.97	KCND3	potassium voltage-gated channel subfamily D member 3
107986809	2.72e-28	1.65e-29	0.1789	11.279957	2.017479	626.71	ELN-AS1	ELN antisense RNA 1
5031	1.07e-06	2.37e-07	0.3898	5.167906	2.0142317	25.22	P2RY6	pyrimidinergic receptor P2Y6
105377402	0.00252	0.000902	0.6063	3.319345	2.0124907	11.06	LOC105377402	uncharacterized LOC105377402
105379189	4.2500000000000004e-33	2.15e-34	0.1643	12.229816	2.0097119	149.01	LOC105379189	uncharacterized LOC105379189
112268416	0.0027	0.000972	0.6072	3.29859	2.0030404	10.61	LOC112268416	uncharacterized LOC112268416
339512	2.25e-05	5.87e-06	0.441	4.531181	1.9984083	20.36	CCDC190	coiled-coil domain containing 190
122402	7.31e-14	8.92e-15	0.2576	7.753713	1.9977168	62.88	TDRD9	tudor domain containing 9
220388	1.2e-07	2.42e-08	0.3554	5.579047	1.9827598	33.07	CCDC89	coiled-coil domain containing 89
401152	8.13e-35	3.88e-36	0.1578	12.552015	1.9812434	2598.97	C4orf3	chromosome 4 open reading frame 3
4147	0.0	0.0	0.0514	38.539569	1.981196	2381.02	MATN2	matrilin 2
3755	1.18e-14	1.35e-15	0.2479	7.989501	1.9806309	64.18	KCNG1	potassium voltage-gated channel modifier subfamily G member 1
10468	0.0	0.0	0.0506	39.032242	1.9748581	5809.14	FST	follistatin
400221	0.00225	0.0008	0.5877	3.352817	1.9704894	11.08	LINC03033	long intergenic non-protein coding RNA 3033
100132116	8.64e-256	1.47e-258	0.057	34.348756	1.9572381	2195.2	ACTA2-AS1	ACTA2 antisense RNA 1
23017	2.32e-07	4.81e-08	0.3584	5.45813	1.9564646	29.9	FAIM2	Fas apoptotic inhibitory molecule 2
633	2.01e-283	2.85e-286	0.0541	36.157376	1.9560674	10724.38	BGN	biglycan
148398	3.02e-05	8e-06	0.4375	4.465252	1.9537512	265.71	SAMD11	sterile alpha motif domain containing 11
9256	7.179999999999999e-42	2.7700000000000003e-43	0.1415	13.793906	1.9515436	205.24	TSPOAP1	TSPO associated protein 1
72	1.9099999999999997e-30	1.0800000000000001e-31	0.1662	11.714315	1.9470253	205.37	ACTG2	actin gamma 2, smooth muscle
112609	1.13e-09	1.86e-10	0.3051	6.372595	1.9440633	41.22	MRAP2	melanocortin 2 receptor accessory protein 2
57507	4.89e-20	4.19e-21	0.2056	9.427659	1.9380391	90.93	ZNF608	zinc finger protein 608
9022	3.5400000000000003e-32	1.85e-33	0.1607	12.053944	1.9367067	164.38	CLIC3	chloride intracellular channel 3
132332	4.7e-05	1.28e-05	0.4429	4.364245	1.9330763	21.2	SMIM43	small integral membrane protein 43
574029	1.7e-09	2.86e-10	0.3055	6.306355	1.9264826	41.8	DUSP5P1	dual specificity phosphatase 5 pseudogene 1
389558	2.79e-193	8.54e-196	0.0645	29.850919	1.9243363	1565.21	FAM180A	family with sequence similarity 180 member A
54873	1.21e-09	1.99e-10	0.302	6.361729	1.9213883	42.67	PALMD	palmdelphin
4071	2.3e-17	2.27e-18	0.2193	8.743124	1.917058	364.12	TM4SF1	transmembrane 4 L six family member 1
59	0.0	0.0	0.0508	37.700272	1.9135923	7653.49	ACTA2	actin alpha 2, smooth muscle
123103	1.48e-05	3.75e-06	0.4129	4.624675	1.9093566	22.21	KLHL33	kelch like family member 33
100506188	0.00155	0.000533	0.5502	3.463407	1.9056101	12.98	LINC03001	long intergenic non-protein coding RNA 3001
5064	6.51e-96	7.499999999999999e-98	0.0904	20.993632	1.89803	553.3	PALM	paralemmin
3855	8.989999999999999e-24	6.61e-25	0.1841	10.306181	1.8974473	4320.97	KRT7	keratin 7
9478	4.92e-06	1.17e-06	0.3873	4.859935	1.8824373	25.35	CABP1	calcium binding protein 1
10365	1.88e-69	3.7000000000000005e-71	0.1055	17.836152	1.8817159	381.05	KLF2	KLF transcription factor 2
105374557	0.000287	8.76e-05	0.4796	3.922708	1.8813921	16.6	LOC105374557	uncharacterized LOC105374557
55086	0.0126	0.00525	0.6715	2.790974	1.8740846	8.65	RADX	RPA1 related single stranded DNA binding protein, X-linked
3625	8.66e-71	1.63e-72	0.104	18.009722	1.872149	414.85	INHBB	inhibin subunit beta B
2252	4.0399999999999997e-113	3.42e-115	0.0815	22.812875	1.8599472	878.22	FGF7	fibroblast growth factor 7
203328	2.25e-06	5.18e-07	0.3694	5.019514	1.854372	28.87	SUSD3	sushi domain containing 3
109729127	3.38e-23	2.5699999999999997e-24	0.1818	10.174839	1.8501705	516.29	KRT7-AS	KRT7 antisense RNA 1
2925	0.0171	0.00742	0.6901	2.677486	1.8477765	7.93	GRPR	gastrin releasing peptide receptor
102723752	0.0102	0.00415	0.6446	2.866379	1.8476023	8.83	LOC102723752	uncharacterized LOC102723752
1397	1.11e-37	4.87e-39	0.141	13.070269	1.8425513	228.28	CRIP2	cysteine rich protein 2
26034	0.00186	0.00065	0.5372	3.409904	1.831961	12.75	IPCEF1	interaction protein for cytohesin exchange factors 1
1844	6.19e-08	1.21e-08	0.3204	5.698866	1.825806	38.07	DUSP2	dual specificity phosphatase 2
9379	0.000734	0.000239	0.4962	3.673829	1.8230631	15.36	NRXN2	neurexin 2
83988	1.75e-10	2.67e-11	0.2729	6.663686	1.8186847	55.77	NCALD	neurocalcin delta
105379152	0.00269	0.000971	0.5502	3.298871	1.8150824	12.53	PRDM6-AS1	PRDM6 antisense RNA 1
2846	7.78e-06	1.91e-06	0.3801	4.762961	1.8101753	26.11	LPAR4	lysophosphatidic acid receptor 4
10742	0.00189	0.000662	0.5304	3.405021	1.8061362	13.29	RAI2	retinoic acid induced 2
57194	4.87e-37	2.17e-38	0.1388	12.955947	1.7985593	1912.55	ATP10A	ATPase phospholipid transporting 10A (putative)
107984413	8.48e-05	2.37e-05	0.4254	4.226363	1.7979751	20.47	LOC107984413	uncharacterized LOC107984413
84675	1.94e-56	5.0000000000000005e-58	0.1119	16.058247	1.7976757	427.27	TRIM55	tripartite motif containing 55
91461	1.8400000000000002e-27	1.15e-28	0.1613	11.107761	1.7912513	158.14	PKDCC	protein kinase domain containing, cytoplasmic
2167	0.0008	0.000262	0.4899	3.650346	1.7882041	15.2	FABP4	fatty acid binding protein 4
4091	3.88e-68	7.830000000000001e-70	0.1011	17.664807	1.7861221	674.36	SMAD6	SMAD family member 6
2047	4.28e-14	5.13e-15	0.2281	7.823566	1.7844183	82.02	EPHB1	EPH receptor B1
4155	3.17e-15	3.51e-16	0.2188	8.15433	1.7840632	85.42	MBP	myelin basic protein
7499	2.43e-10	3.75e-11	0.2697	6.613714	1.7835518	53.07	XG	Xg glycoprotein (Xg blood group)
